63	LAWRENCE	0.28%	920,925
64	NICHOLAS	0.28%	898,066
65	ROY	0.27%	891,534
66	BENJAMIN	0.27%	881,737
67	BRUCE	0.26%	858,877
68	BRANDON	0.26%	849,080
69	ADAM	0.26%	845,815
70	HARRY	0.25%	819,689
71	FRED	0.25%	819,689
72	WAYNE	0.25%	813,158
73	BILLY	0.25%	809,892
74	STEVE	0.25%	803,360
75	LOUIS	0.24%	793,563
76	JEREMY	0.24%	790,298
77	AARON	0.24%	783,766
78	RANDY	0.23%	757,641
79	HOWARD	0.23%	751,109
80	EUGENE	0.23%	751,109
81	CARLOS	0.23%	747,844
82	RUSSELL	0.22%	731,515
83	BOBBY	0.22%	728,250
84	VICTOR	0.22%	724,984
85	MARTIN	0.22%	705,390
86	ERNEST	0.22%	702,124
87	PHILLIP	0.21%	695,593
88	TODD	0.21%	695,593
89	JESSE	0.21%	682,530
90	CRAIG	0.21%	672,733
91	ALAN	0.20%	666,201
92	SHAWN	0.20%	653,139
93	CLARENCE	0.20%	643,342
94	SEAN	0.20%	643,342
95	PHILIP	0.20%	643,342
96	CHRIS	0.20%	643,342
97	JOHNNY	0.20%	636,810
98	EARL	0.19%	630,279
99	JIMMY	0.19%	623,747
100	ANTONIO	0.19%	620,482
101	DANNY	0.19%	620,482
102	BRYAN	0.19%	620,482
103	TONY	0.19%	620,482
104	LUIS	0.19%	617,216
105	MIKE	0.19%	617,216
106	STANLEY	0.19%	607,419
107	LEONARD	0.19%	607,419
108	NATHAN	0.19%	604,153
109	DALE	0.18%	600,888
110	MANUEL	0.18%	591,090
111	RODNEY	0.18%	587,825
112	CURTIS	0.18%	587,825
113	NORMAN	0.18%	578,028
114	ALLEN	0.17%	568,231
115	MARVIN	0.17%	558,434
116	VINCENT	0.17%	548,636
117	GLENN	0.17%	545,371
118	JEFFERY	0.17%	542,105
119	TRAVIS	0.17%	542,105
120	JEFF	0.17%	542,105
121	CHAD	0.17%	538,839
122	JACOB	0.17%	538,839
123	LEE	0.16%	529,042
124	MELVIN	0.16%	529,042
125	ALFRED	0.16%	529,042
126	KYLE	0.16%	522,511
127	FRANCIS	0.16%	522,511
128	BRADLEY	0.16%	519,245
129	JESUS	0.16%	506,182
130	HERBERT	0.16%	506,182
131	FREDERICK	0.15%	502,917
132	RAY	0.15%	499,651
133	JOEL	0.15%	496,385
134	EDWIN	0.15%	483,323
135	DON	0.15%	473,525
136	EDDIE	0.14%	470,260
137	RICKY	0.14%	460,463
138	TROY	0.14%	450,666
139	RANDALL	0.14%	450,666
140	BARRY	0.13%	437,603
141	ALEXANDER	0.13%	431,071
142	BERNARD	0.13%	414,743
143	MARIO	0.13%	408,212
144	LEROY	0.13%	408,212
145	FRANCISCO	0.12%	404,946
146	MARCUS	0.12%	404,946
147	MICHEAL	0.12%	401,680
148	THEODORE	0.12%	401,680
149	CLIFFORD	0.12%	401,680
150	MIGUEL	0.12%	398,415
151	OSCAR	0.12%	398,415
152	JAY	0.12%	385,352
153	JIM	0.12%	385,352
154	TOM	0.12%	382,086
155	CALVIN	0.12%	375,555
156	ALEX	0.12%	375,555
157	JON	0.12%	375,555
158	RONNIE	0.11%	369,023
159	BILL	0.11%	365,758
160	LLOYD	0.11%	365,758
161	TOMMY	0.11%	365,758
162	LEON	0.11%	365,758
163	DEREK	0.11%	365,758
164	WARREN	0.11%	359,226
165	DARRELL	0.11%	352,695
166	JEROME	0.11%	352,695
167	FLOYD	0.11%	349,429
168	LEO	0.11%	346,163
169	ALVIN	0.11%	342,898
170	TIM	0.10%	339,632
171	WESLEY	0.10%	339,632
172	GORDON	0.10%	339,632
173	DEAN	0.10%	339,632
174	GREG	0.10%	339,632
175	JORGE	0.10%	339,632
176	DUSTIN	0.10%	336,366
177	PEDRO	0.10%	336,366
178	DERRICK	0.10%	336,366
179	DAN	0.10%	329,835
180	LEWIS	0.10%	323,304
181	ZACHARY	0.10%	323,304
182	COREY	0.10%	320,038
183	HERMAN	0.10%	316,772
184	MAURICE	0.10%	316,772
185	VERNON	0.10%	316,772
186	ROBERTO	0.10%	316,772
187	CLYDE	0.10%	310,241
188	GLEN	0.09%	306,975
189	HECTOR	0.09%	306,975
190	SHANE	0.09%	303,709
191	RICARDO	0.09%	303,709
192	SAM	0.09%	300,444
193	RICK	0.09%	297,178
194	LESTER	0.09%	297,178
195	BRENT	0.09%	293,912
196	RAMON	0.09%	293,912
197	CHARLIE	0.09%	293,912
198	TYLER	0.09%	290,647
199	GILBERT	0.09%	290,647
200	GENE	0.09%	284,115
201	MARC	0.09%	284,115
202	REGINALD	0.08%	274,318
203	RUBEN	0.08%	267,787
204	BRETT	0.08%	267,787
205	ANGEL	0.08%	267,787
206	NATHANIEL	0.08%	264,521
207	RAFAEL	0.08%	264,521
208	LESLIE	0.08%	264,521
209	EDGAR	0.08%	261,255
210	MILTON	0.08%	261,255
211	RAUL	0.08%	257,990
212	BEN	0.08%	254,724
213	CHESTER	0.08%	254,724
214	CECIL	0.08%	254,724
215	DUANE	0.08%	251,458
216	FRANKLIN	0.08%	251,458
217	ANDRE	0.08%	248,193
218	ELMER	0.07%	241,661
219	BRAD	0.07%	238,396
220	GABRIEL	0.07%	238,396
221	RON	0.07%	235,130
222	MITCHELL	0.07%	235,130
223	ROLAND	0.07%	235,130
224	ARNOLD	0.07%	235,130
225	HARVEY	0.07%	235,130
226	JARED	0.07%	231,864
227	ADRIAN	0.07%	225,333
228	KARL	0.07%	225,333
229	CORY	0.07%	222,067
230	CLAUDE	0.07%	222,067
231	ERIK	0.07%	222,067
232	DARRYL	0.07%	218,801
233	JAMIE	0.07%	215,536
234	NEIL	0.07%	215,536
235	JESSIE	0.07%	212,270
236	CHRISTIAN	0.07%	212,270
237	JAVIER	0.07%	212,270
238	FERNANDO	0.07%	212,270
239	CLINTON	0.07%	212,270
240	TED	0.06%	209,004
241	MATHEW	0.06%	209,004
242	TYRONE	0.06%	209,004
243	DARREN	0.06%	209,004
244	LONNIE	0.06%	209,004
245	LANCE	0.06%	205,739
246	CODY	0.06%	205,739
247	JULIO	0.06%	205,739
248	KELLY	0.06%	205,739
249	KURT	0.06%	202,473
250	ALLAN	0.06%	199,207
251	NELSON	0.06%	199,207
252	GUY	0.06%	195,942
253	CLAYTON	0.06%	195,942
254	HUGH	0.06%	195,942
255	MAX	0.06%	192,676
256	DWAYNE	0.06%	192,676
257	DWIGHT	0.06%	189,410
258	ARMANDO	0.06%	189,410
259	FELIX	0.06%	189,410
260	JIMMIE	0.06%	189,410
261	EVERETT	0.06%	186,145
262	JORDAN	0.06%	182,879
263	IAN	0.06%	182,879
264	WALLACE	0.06%	182,879
265	KEN	0.06%	179,613
266	BOB	0.06%	179,613
267	JAIME	0.06%	179,613
268	CASEY	0.05%	176,347
269	ALFREDO	0.05%	176,347
270	ALBERTO	0.05%	173,082
271	DAVE	0.05%	173,082
272	IVAN	0.05%	173,082
273	JOHNNIE	0.05%	169,816
274	SIDNEY	0.05%	169,816
275	BYRON	0.05%	169,816
276	JULIAN	0.05%	169,816
277	ISAAC	0.05%	166,550
278	MORRIS	0.05%	166,550
279	CLIFTON	0.05%	163,285
280	WILLARD	0.05%	163,285
281	DARYL	0.05%	163,285
282	ROSS	0.05%	163,285
283	VIRGIL	0.05%	160,019
284	ANDY	0.05%	160,019
285	MARSHALL	0.05%	160,019
286	SALVADOR	0.05%	160,019
287	PERRY	0.05%	160,019
288	KIRK	0.05%	160,019
289	SERGIO	0.05%	160,019
290	MARION	0.05%	156,753
291	TRACY	0.05%	156,753
292	SETH	0.05%	156,753
293	KENT	0.05%	156,753
294	TERRANCE	0.05%	156,753
295	RENE	0.05%	156,753
296	EDUARDO	0.05%	153,488
297	TERRENCE	0.05%	153,488
298	ENRIQUE	0.05%	150,222
299	FREDDIE	0.05%	150,222
300	WADE
1	MARY	2.63%	8,585,507
2	PATRICIA	1.07%	3,504,089
3	LINDA	1.04%	3,379,992
4	BARBARA	0.98%	3,200,379
5	ELIZABETH	0.94%	3,059,954
6	JENNIFER	0.93%	3,043,626
7	MARIA	0.83%	2,703,994
8	SUSAN	0.79%	2,592,960
9	MARGARET	0.77%	2,508,052
10	DOROTHY	0.73%	2,374,159
11	LISA	0.70%	2,299,048
12	NANCY	0.67%	2,184,749
13	KAREN	0.67%	2,178,217
14	BETTY	0.67%	2,174,952
15	HELEN	0.66%	2,165,155
16	SANDRA	0.63%	2,054,121
17	DONNA	0.58%	1,903,899
18	CAROL	0.57%	1,845,117
19	RUTH	0.56%	1,835,320
20	SHARON	0.52%	1,704,692
21	MICHELLE	0.52%	1,694,895
22	LAURA	0.51%	1,665,503
23	SARAH	0.51%	1,658,972
24	KIMBERLY	0.50%	1,645,909
25	DEBORAH	0.49%	1,613,252
26	JESSICA	0.49%	1,600,190
27	SHIRLEY	0.48%	1,574,064
28	CYNTHIA	0.47%	1,531,610
29	ANGELA	0.47%	1,528,344
30	MELISSA	0.46%	1,508,750
31	BRENDA	0.46%	1,485,890
32	AMY	0.45%	1,472,828
33	ANNA	0.44%	1,436,905
34	REBECCA	0.43%	1,404,248
35	VIRGINIA	0.43%	1,404,248
36	KATHLEEN	0.42%	1,384,654
37	PAMELA	0.42%	1,358,528
38	MARTHA	0.41%	1,345,466
39	DEBRA	0.41%	1,332,403
40	AMANDA	0.40%	1,319,340
41	STEPHANIE	0.40%	1,306,277
42	CAROLYN	0.39%	1,257,292
43	CHRISTINE	0.38%	1,247,495
44	MARIE	0.38%	1,237,698
45	JANET	0.38%	1,237,698
46	CATHERINE	0.37%	1,218,104
47	FRANCES	0.37%	1,208,306
48	ANN	0.36%	1,188,712
49	JOYCE	0.36%	1,188,712
50	DIANE	0.36%	1,172,384
51	ALICE	0.36%	1,165,852
52	JULIE	0.35%	1,136,461
53	HEATHER	0.34%	1,100,539
54	TERESA	0.34%	1,097,273
55	DORIS	0.34%	1,094,007
56	GLORIA	0.34%	1,094,007
57	EVELYN	0.32%	1,051,553
58	JEAN	0.32%	1,028,693
59	CHERYL	0.32%	1,028,693
60	MILDRED	0.31%	1,022,162
61	KATHERINE	0.31%	1,022,162
62	JOAN	0.31%	999,302
63	ASHLEY	0.30%	989,505
64	JUDITH	0.30%	969,911
65	ROSE	0.30%	966,645
66	JANICE	0.29%	930,723
67	KELLY	0.28%	924,191
68	NICOLE	0.28%	917,660
69	JUDY	0.28%	901,331
70	CHRISTINA	0.28%	898,066
71	KATHY	0.27%	888,269
72	THERESA	0.27%	885,003
73	BEVERLY	0.27%	871,940
74	DENISE	0.26%	862,143
75	TAMMY	0.26%	845,815
76	IRENE	0.25%	822,955
77	JANE	0.25%	816,423
78	LORI	0.25%	809,892
79	RACHEL	0.24%	790,298
80	MARILYN	0.24%	787,032
81	ANDREA	0.24%	770,704
82	KATHRYN	0.23%	764,172
83	LOUISE	0.23%	747,844
84	SARA	0.23%	747,844
85	ANNE	0.23%	744,578
86	JACQUELINE	0.23%	744,578
87	WANDA	0.23%	738,047
88	BONNIE	0.22%	728,250
89	JULIA	0.22%	728,250
90	RUBY	0.22%	721,718
91	LOIS	0.22%	718,452
92	TINA	0.22%	718,452
93	PHYLLIS	0.22%	715,187
94	NORMA	0.22%	711,921
95	PAULA	0.22%	708,655
96	DIANA	0.22%	705,390
97	ANNIE	0.22%	705,390
98	LILLIAN	0.21%	689,061
99	EMILY	0.21%	679,264
100	ROBIN	0.21%	679,264
101	PEGGY	0.21%	679,264
102	CRYSTAL	0.21%	675,998
103	GLADYS	0.21%	669,467
104	RITA	0.20%	666,201
105	DAWN	0.20%	659,670
106	CONNIE	0.20%	653,139
107	FLORENCE	0.20%	653,139
108	TRACY	0.20%	643,342
109	EDNA	0.20%	643,342
110	TIFFANY	0.20%	636,810
111	CARMEN	0.20%	636,810
112	ROSA	0.19%	633,544
113	CINDY	0.19%	627,013
114	GRACE	0.19%	617,216
115	WENDY	0.19%	604,153
116	VICTORIA	0.18%	587,825
117	EDITH	0.18%	584,559
118	KIM	0.18%	581,293
119	SHERRY	0.18%	581,293
120	SYLVIA	0.18%	578,028
121	JOSEPHINE	0.18%	578,028
122	THELMA	0.18%	571,496
123	SHANNON	0.18%	571,496
124	SHEILA	0.18%	571,496
125	ETHEL	0.17%	568,231
126	ELLEN	0.17%	564,965
127	ELAINE	0.17%	564,965
128	MARJORIE	0.17%	564,965
129	CARRIE	0.17%	558,434
130	CHARLOTTE	0.17%	551,902
131	MONICA	0.17%	542,105
132	ESTHER	0.17%	542,105
133	PAULINE	0.17%	538,839
134	EMMA	0.17%	538,839
135	JUANITA	0.16%	535,574
136	ANITA	0.16%	529,042
137	RHONDA	0.16%	529,042
138	HAZEL	0.16%	525,777
139	AMBER	0.16%	522,511
140	EVA	0.16%	519,245
141	DEBBIE	0.16%	512,714
142	APRIL	0.15%	502,917
143	LESLIE	0.15%	502,917
144	CLARA	0.15%	499,651
145	LUCILLE	0.15%	499,651
146	JAMIE	0.15%	499,651
147	JOANNE	0.15%	489,854
148	ELEANOR	0.15%	489,854
149	VALERIE	0.15%	486,588
150	DANIELLE	0.15%	486,588
151	MEGAN	0.15%	480,057
152	ALICIA	0.15%	476,791
153	SUZANNE	0.15%	473,525
154	MICHELE	0.15%	473,525
155	GAIL	0.15%	473,525
156	BERTHA	0.14%	466,994
157	DARLENE	0.14%	463,728
158	VERONICA	0.14%	463,728
159	JILL	0.14%	463,728
160	ERIN	0.14%	460,463
161	GERALDINE	0.14%	460,463
162	LAUREN	0.14%	447,400
163	CATHY	0.14%	447,400
164	JOANN	0.14%	444,134
165	LORRAINE	0.14%	440,869
166	LYNN	0.14%	440,869
167	SALLY	0.14%	440,869
168	REGINA	0.13%	434,337
169	ERICA	0.13%	424,540
170	BEATRICE	0.13%	424,540
171	DOLORES	0.13%	421,274
172	BERNICE	0.13%	418,009
173	AUDREY	0.13%	414,743
174	YVONNE	0.13%	411,477
175	ANNETTE	0.13%	408,212
176	JUNE	0.13%	408,212
177	SAMANTHA	0.12%	404,946
178	MARION	0.12%	398,415
179	DANA	0.12%	398,415
180	STACY	0.12%	395,149
181	ANA	0.12%	391,883
182	RENEE	0.12%	391,883
183	IDA	0.12%	385,352
184	VIVIAN	0.12%	385,352
185	ROBERTA	0.12%	382,086
186	HOLLY	0.12%	382,086
187	BRITTANY	0.12%	382,086
188	MELANIE	0.12%	378,820
189	LORETTA	0.12%	375,555
190	YOLANDA	0.12%	375,555
191	JEANETTE	0.12%	375,555
192	LAURIE	0.11%	372,289
193	KATIE	0.11%	369,023
194	KRISTEN	0.11%	362,492
195	VANESSA	0.11%	362,492
196	ALMA	0.11%	362,492
197	SUE	0.11%	362,492
198	ELSIE	0.11%	359,226
199	BETH	0.11%	359,226
200	JEANNE	0.11%	355,961
201	VICKI	0.11%	355,961
202	CARLA	0.11%	349,429
203	TARA	0.11%	349,429
204	ROSEMARY	0.11%	349,429
205	EILEEN	0.11%	342,898
206	TERRI	0.11%	342,898
207	GERTRUDE	0.10%	336,366
208	LUCY	0.10%	336,366
209	TONYA	0.10%	333,101
210	ELLA	0.10%	329,835
211	STACEY	0.10%	329,835
212	WILMA	0.10%	323,304
213	GINA	0.10%	323,304
214	KRISTIN	0.10%	323,304
215	JESSIE	0.10%	320,038
216	NATALIE	0.10%	320,038
217	AGNES	0.10%	320,038
218	VERA	0.10%	320,038
219	WILLIE	0.10%	316,772
220	CHARLENE	0.10%	316,772
221	BESSIE	0.10%	313,507
222	DELORES	0.10%	310,241
223	MELINDA	0.09%	306,975
224	PEARL	0.09%	306,975
225	ARLENE	0.09%	306,975
226	MAUREEN	0.09%	300,444
227	COLLEEN	0.09%	300,444
228	ALLISON	0.09%	300,444
229	TAMARA	0.09%	300,444
230	JOY	0.09%	297,178
231	GEORGIA	0.09%	297,178
232	CONSTANCE	0.09%	297,178
233	LILLIE	0.09%	293,912
234	CLAUDIA	0.09%	293,912
235	JACKIE	0.09%	293,912
236	MARCIA	0.09%	293,912
237	TANYA	0.09%	290,647
238	NELLIE	0.09%	290,647
239	MINNIE	0.09%	290,647
240	MARLENE	0.09%	287,381
241	HEIDI	0.09%	287,381
242	GLENDA	0.09%	287,381
243	LYDIA	0.09%	280,850
244	VIOLA	0.09%	280,850
245	COURTNEY	0.09%	280,850
246	MARIAN	0.09%	280,850
247	STELLA	0.09%	277,584
248	CAROLINE	0.09%	277,584
249	DORA	0.08%	274,318
250	JO	0.08%	271,053
251	VICKIE	0.08%	267,787
252	MATTIE	0.08%	264,521
253	TERRY	0.08%	261,255
254	MAXINE	0.08%	257,990
255	IRMA	0.08%	257,990
256	MABEL	0.08%	254,724
257	MARSHA	0.08%	254,724
258	MYRTLE	0.08%	254,724
259	LENA	0.08%	251,458
260	CHRISTY	0.08%	251,458
261	DEANNA	0.08%	248,193
262	PATSY	0.08%	248,193
263	HILDA	0.08%	244,927
264	GWENDOLYN	0.07%	241,661
265	JENNIE	0.07%	238,396
266	NORA	0.07%	238,396
267	MARGIE	0.07%	235,130
268	NINA	0.07%	235,130
269	CASSANDRA	0.07%	235,130
270	LEAH	0.07%	235,130
271	PENNY	0.07%	231,864
272	KAY	0.07%	231,864
273	PRISCILLA	0.07%	231,864
274	NAOMI	0.07%	231,864
275	CAROLE	0.07%	231,864
276	BRANDY	0.07%	228,599
277	OLGA	0.07%	228,599
278	BILLIE	0.07%	225,333
279	DIANNE	0.07%	225,333
280	TRACEY	0.07%	225,333
281	LEONA	0.07%	225,333
282	JENNY	0.07%	222,067
283	FELICIA	0.07%	222,067
284	SONIA	0.07%	222,067
285	MIRIAM	0.07%	215,536
286	VELMA	0.07%	215,536
287	BECKY	0.07%	215,536
288	BOBBIE	0.07%	212,270
289	VIOLET	0.07%	212,270
290	KRISTINA	0.07%	212,270
291	TONI	0.06%	209,004
292	MISTY	0.06%	205,739
293	MAE	0.06%	205,739
294	SHELLY	0.06%	202,473
295	DAISY	0.06%	202,473
296	RAMONA	0.06%	202,473
297	SHERRI	0.06%	202,473
298	ERIKA	0.06%	199,207
299	KATRINA	0.06%	199,207
300	CLAIRE
